first name,last name,fullname,postcode,phone number,email,latitude,longitude,member_numeric_data
Dan,Flatley,Dan Flatley,LS9 8AS,+447509424182,Dan_Flatley@gmail.com,53.792751,-1.523681,33
Freida,Gleason,Freida Gleason,L39 8SZ,+445508079062,Freida.Gleason71@gmail.com,53.607449,-2.968876,32
Izaiah,DuBuque-Bruen,Izaiah DuBuque-Bruen,L5 3QN,+446982060198,Izaiah_DuBuque-Bruen46@gmail.com,53.426602,-2.97251,90
Linnea,Wisozk,Linnea Wisozk,CF36 3YG,+446636501428,Linnea.Wisozk54@yahoo.com,51.476911,-3.705818,17
Harmony,Jenkins,Harmony Jenkins,SS9 1DJ,+443958051593,Harmony_Jenkins@hotmail.com,51.542053,0.663331,24
Silas,Price,Silas Price,TQ14 0HF,+444167423107,Silas_Price@gmail.com,50.538168,-3.517974,93
Alana,Weimann,Alana Weimann,NG10 4JX,+446554575033,Alana.Weimann@yahoo.com,52.900075,-1.294122,35
Rosina,Walter,Rosina Walter,WV1 9TF,+449559914973,Rosina_Walter59@gmail.com,52.588483,-2.114949,25
Jazmyne,Larkin,Jazmyne Larkin,S63 6FU,+446814769966,Jazmyne_Larkin17@gmail.com,53.50587,-1.370682,20
Bertrand,Zemlak-Lynch,Bertrand Zemlak-Lynch,OX20 1AU,+447144704551,Bertrand_Zemlak-Lynch@hotmail.com,51.893712,-1.385388,41
Allen,Gleason-Gerhold,Allen Gleason-Gerhold,S62 6EA,+448346839894,Allen_Gleason-Gerhold@hotmail.com,53.44637,-1.346463,71
Brody,Fritsch,Brody Fritsch,DN5 0TE,+447817066755,Brody.Fritsch@hotmail.com,53.553426,-1.126867,45
Kameron,Hackett,Kameron Hackett,B66 3PJ,+447709597165,Kameron_Hackett63@hotmail.com,52.48711,-1.963222,57
Clementine,Murphy,Clementine Murphy,GU11 2DG,+449362970561,Clementine.Murphy@gmail.com,51.255514,-0.751256,48
Meghan,Conn,Meghan Conn,SE23 3RW,+448922558530,Meghan_Conn@gmail.com,51.443054,-0.056309,78
Charlotte,Leuschke,Charlotte Leuschke,EX6 6PD,+445054751432,Charlotte.Leuschke15@hotmail.com,50.706094,-3.815657,89
Ian,Kuphal,Ian Kuphal,SY4 5QZ,+443628501253,Ian_Kuphal43@hotmail.com,52.883583,-2.735047,68
Mylene,Becker,Mylene Becker,CB23 1HP,+443409232149,Mylene.Becker@yahoo.com,52.164262,-0.004228,37
Kyle,Walker,Kyle Walker,CV5 9FN,+446082676494,Kyle.Walker@hotmail.com,52.442383,-1.557598,96
Adrianna,Gusikowski,Adrianna Gusikowski,RG31 5DB,+443017061859,Adrianna_Gusikowski11@hotmail.com,51.454988,-1.047086,94
Jazmin,Mraz,Jazmin Mraz,WA8 6NN,+444567541876,Jazmin.Mraz91@gmail.com,53.366001,-2.7317,72
Amaya,Emmerich,Amaya Emmerich,EX24 6SJ,+444957938772,Amaya.Emmerich@hotmail.com,50.752134,-3.090126,6
Reese,Rolfson,Reese Rolfson,HG5 8LR,+443563691228,Reese.Rolfson@gmail.com,53.99816,-1.449829,21
Jarred,Lesch,Jarred Lesch,TN25 5HA,+443772043527,Jarred.Lesch72@hotmail.com,51.180846,0.934379,78
Wendell,Schneider,Wendell Schneider,BS11 9SS,+442183329670,Wendell.Schneider45@gmail.com,51.486869,-2.678509,53
Samson,Dietrich,Samson Dietrich,WC1R 4HD,+448642088431,Samson_Dietrich@yahoo.com,51.520479,-0.116726,40
Magnolia,Conn,Magnolia Conn,B91 1RQ,+446523766045,Magnolia_Conn@hotmail.com,52.415696,-1.802433,99
Alex,Herman,Alex Herman,GU52 6NY,+445028416652,Alex_Herman37@gmail.com,51.264405,-0.840212,8
Katrine,Renner,Katrine Renner,DA8 1JQ,+449748224219,Katrine.Renner83@yahoo.com,51.472281,0.160019,43
Vernie,Nicolas,Vernie Nicolas,SK15 3RG,+446227444386,Vernie.Nicolas47@gmail.com,53.50734,-2.026225,30
Clemmie,Cole,Clemmie Cole,G12 8TL,+448558583608,Clemmie.Cole@hotmail.com,55.875933,-4.29326,60
Georgianna,Crona,Georgianna Crona,LU2 7GG,+446346557440,Georgianna_Crona@gmail.com,51.913284,-0.416383,17
Maynard,Herzog,Maynard Herzog,N9 8HE,+446043626594,Maynard.Herzog@yahoo.com,51.638199,-0.043569,60
Norene,Bartoletti,Norene Bartoletti,CW5 6JN,+449336482902,Norene.Bartoletti@hotmail.com,53.067158,-2.505794,77
